84.1576 	EXP 	grating: autoDraw = False
92.3780 	DATA 	Keypress: right
92.3887 	EXP 	fixation: autoDraw = False
92.3887 	EXP 	grating: autoDraw = False
92.3887 	EXP 	grating: ori = 10.0
92.3887 	EXP 	fixation: autoDraw = True
92.8887 	EXP 	fixation: autoDraw = False
92.8887 	EXP 	grating: autoDraw = True
93.1887 	EXP 	grating: autoDraw = False
94.2112 	DATA 	Keypress: right
94.2217 	EXP 	fixation: autoDraw = False
94.2217 	EXP 	grating: autoDraw = False
94.2217 	EXP 	grating: ori = 10.0
94.2217 	EXP 	fixation: autoDraw = True
94.7222 	EXP 	fixation: autoDraw = False
94.7222 	EXP 	grating: autoDraw = True
95.0218 	EXP 	grating: autoDraw = False
95.2111 	DATA 	Keypress: right
95.2218 	EXP 	fixation: autoDraw = False
95.2218 	EXP 	grating: autoDraw = False
95.2218 	EXP 	grating: ori = 10.0
95.2218 	EXP 	fixation: autoDraw = True
95.7216 	EXP 	fixation: autoDraw = False
95.7216 	EXP 	grating: autoDraw = True
96.0221 	EXP 	grating: autoDraw = False
96.1273 	DATA 	Keypress: right
96.1381 	EXP 	fixation: autoDraw = False
96.1381 	EXP 	grating: autoDraw = False
96.1381 	EXP 	grating: ori = 10.0
96.1381 	EXP 	fixation: autoDraw = True
96.6393 	EXP 	fixation: autoDraw = False
96.6393 	EXP 	grating: autoDraw = True
96.9388 	EXP 	grating: autoDraw = False
97.0436 	DATA 	Keypress: right
97.0546 	EXP 	fixation: autoDraw = False
97.0546 	EXP 	grating: autoDraw = False
97.0546 	EXP 	grating: ori = 10.0
97.0546 	EXP 	fixation: autoDraw = True
97.5546 	EXP 	fixation: autoDraw = False
97.5546 	EXP 	grating: autoDraw = True
97.8547 	EXP 	grating: autoDraw = False
98.0604 	DATA 	Keypress: right
98.0713 	EXP 	fixation: autoDraw = False
98.0713 	EXP 	grating: autoDraw = False
98.0713 	EXP 	grating: ori = 10.0
98.0713 	EXP 	fixation: autoDraw = True
98.5714 	EXP 	fixation: autoDraw = False
98.5714 	EXP 	grating: autoDraw = True
98.8709 	EXP 	grating: autoDraw = False
98.9760 	DATA 	Keypress: right
98.9888 	EXP 	fixation: autoDraw = False
98.9888 	EXP 	grating: autoDraw = False
99.1059 	EXP 	window1: mouseVisible = True
